month,metro,median_sale_price,price_yoy,homes_sold,median_dom,new_listings,active_listings
2026-05-01,"Akron, OH",249232,7.43,713,30,842,2204
2026-04-01,"Akron, OH",237950,8.16,719,29,802,2170
2026-03-01,"Akron, OH",220900,8.42,674,28,831,2191
2026-02-01,"Akron, OH",222000,11,656,28,773,2132
2026-01-01,"Akron, OH",220000,15.18,671,29,767,2147
2025-12-01,"Akron, OH",222000,5.69,694,28,756,2172
2025-11-01,"Akron, OH",230000,6.24,702,29,810,2189
2025-10-01,"Akron, OH",245000,11.3,696,29,803,2172
2025-09-01,"Akron, OH",239625,2.62,757,31,812,2192
2025-08-01,"Akron, OH",245000,-0.81,724,29,837,2197
2025-07-01,"Akron, OH",255000,8.51,680,31,823,2193
2025-06-01,"Akron, OH",250000,11.11,688,31,784,2163
2025-05-01,"Akron, OH",232000,7.43,686,27,790,2168
2025-04-01,"Akron, OH",220001,7.32,688,30,846,2183
2025-03-01,"Akron, OH",203750,1.54,664,29,811,2123
2025-02-01,"Akron, OH",200000,11.11,735,26,803,2131
2025-01-01,"Akron, OH",191000,-2.05,702,27,779,2107
2024-12-01,"Akron, OH",210050,10.55,670,26,768,2102
2024-11-01,"Akron, OH",216500,9.34,664,26,806,2100
2024-10-01,"Akron, OH",220122,4.87,645,26,813,2045
2024-09-01,"Akron, OH",233500,11.25,608,24,763,1934
2024-08-01,"Akron, OH",247000,12.81,663,27,761,1853
2024-07-01,"Akron, OH",235000,7.28,639,24,736,1801
2024-06-01,"Akron, OH",225000,10.4,654,23,741,1801
2024-05-01,"Akron, OH",215950,5.86,658,25,746,1791
2024-04-01,"Akron, OH",205000,4.06,720,31,711,1836
2024-03-01,"Akron, OH",200650,18.1,720,23,757,1941
2024-02-01,"Akron, OH",180000,-5.26,685,24,819,2006
2024-01-01,"Akron, OH",195000,11.81,692,25,802,1972
2023-12-01,"Akron, OH",190000,8.88,672,24,806,1943
2023-11-01,"Akron, OH",198000,1.54,674,23,802,1876
2023-10-01,"Akron, OH",209900,10.47,714,22,771,1801
2023-09-01,"Akron, OH",209888,2.38,674,21,796,1779
2023-08-01,"Akron, OH",218950,1.84,664,21,766,1674
2023-07-01,"Akron, OH",219050,4.31,681,20,729,1689
2023-06-01,"Akron, OH",203800,-4.77,698,22,752,1771
2023-05-01,"Akron, OH",204000,2,693,23,750,1801
2023-04-01,"Akron, OH",197000,12.57,714,23,727,1892
2023-03-01,"Akron, OH",169900,-0.06,775,24,775,1998
2023-02-01,"Akron, OH",190000,17.28,789,26,835,2131
2023-01-01,"Akron, OH",174400,9.07,701,23,839,2155
2022-12-01,"Akron, OH",174500,-3.06,721,25,874,2149
2022-11-01,"Akron, OH",195000,8.33,763,23,800,2113
2022-10-01,"Akron, OH",190000,2.7,793,23,869,2124
2022-09-01,"Akron, OH",205000,10.81,811,25,879,2079
2022-08-01,"Akron, OH",215000,18.13,843,23,861,2116
2022-07-01,"Akron, OH",210000,12.9,837,17,929,2167
2022-06-01,"Akron, OH",214000,18.89,858,15,996,2220
2022-05-01,"Akron, OH",200000,14.29,876,16,970,2155
2022-04-01,"Akron, OH",175000,0,822,17,1060,2189
2022-03-01,"Akron, OH",170000,6.58,801,20,925,2080
2022-02-01,"Akron, OH",162000,4.18,930,19,863,2014
2022-01-01,"Akron, OH",159900,6.67,1019,21,936,2242
2021-12-01,"Akron, OH",180000,13.92,933,22,1069,2259
2021-11-01,"Akron, OH",180000,3.75,969,24,1003,2282
2021-10-01,"Akron, OH",185000,6.97,919,26,961,2332
2021-09-01,"Akron, OH",185000,2.78,971,24,961,2383
2021-08-01,"Akron, OH",182000,5.2,841,23,1008,2445
2021-07-01,"Akron, OH",186000,4.49,878,25,1060,2403
2021-06-01,"Akron, OH",180000,5.94,808,24,995,2254
2021-05-01,"Akron, OH",175000,9.38,830,24,975,2206
